KOD;NAZEV;ORP_KOD;SPRAVNI_OBEC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3611;Frenöt·t pod RadhoötÏm;1848;599344;22.05.2024 00:00:00;;24.11.1990 00:00:00
3506;Fr˝dek-MÌstek;1741;598003;14.03.2024 00:00:00;;24.11.1990 00:00:00
1724;Fr˝dlant;809;564028;15.12.2016 00:00:00;;24.11.1990 00:00:00
3514;Fr˝dlant nad OstravicÌ;1759;598143;22.05.2024 00:00:00;;24.11.1990 00:00:00
3620;Fulnek;1872;599352;21.06.2023 00:00:00;;24.11.1990 00:00:00
1988;GolË˘v JenÌkov;949;568635;01.02.2023 00:00:00;;24.11.1990 00:00:00
3832;Hanuöovice;2020;535532;16.05.2025 00:00:00;;24.11.1990 00:00:00
1996;HavlÌËk˘v Brod;949;568414;18.09.2024 00:00:00;;24.11.1990 00:00:00
3565;HavÌ¯ov;1791;555088;14.11.2023 00:00:00;;24.11.1990 00:00:00
2119;He¯man˘v MÏstec;981;571385;11.06.2025 00:00:00;;24.11.1990 00:00:00
19;HlavnÌ mÏsto Praha;19;554782;06.12.2017 00:00:00;;01.01.2003 00:00:00
2127;Hlinsko;990;571393;24.02.2025 00:00:00;;24.11.1990 00:00:00
582;Hlubok· nad Vltavou;302;544485;28.12.2023 00:00:00;;24.11.1990 00:00:00
3689;HluboËky;1899;502146;06.04.2018 00:00:00;;01.01.2003 00:00:00
3743;HluËÌn;1929;507016;31.03.2016 00:00:00;;24.11.1990 00:00:00
1732;Hodkovice nad Mohelkou;817;564061;02.01.2021 00:00:00;;20.03.1992 00:00:00
2950;HodonÌn;1473;586021;18.05.2022 00:00:00;;24.11.1990 00:00:00
3077;Holeöov;1538;588458;21.04.2020 00:00:00;;24.11.1990 00:00:00
2321;Holice;1074;574988;16.08.2021 00:00:00;;24.11.1990 00:00:00
1023;Hol˝öov;621;553654;22.08.2023 00:00:00;;24.11.1990 00:00:00
1163;HoraûÔovice;558;556254;16.09.2019 00:00:00;;24.11.1990 00:00:00
3433;HornÌ Beneöov;1716;597350;25.06.2024 00:00:00;;24.11.1990 00:00:00
3875;HornÌ LideË;2054;542725;24.06.2021 00:00:00;;20.03.1992 00:00:00
655;HornÌ Plan·;329;545511;10.12.2024 00:00:00;;24.11.1990 00:00:00
1414;HornÌ Slavkov;671;560367;23.08.2024 00:00:00;;24.11.1990 00:00:00
1031;Horöovsk˝ T˝n;493;553671;14.09.2022 00:00:00;;24.11.1990 00:00:00
2542;HostinnÈ;1228;579297;10.07.2024 00:00:00;;24.11.1990 00:00:00
426;Hostivice;230;539244;31.01.2024 00:00:00;;24.11.1990 00:00:00
2160;Ho¯ice;1007;572926;18.03.2024 00:00:00;;24.11.1990 00:00:00
86;Ho¯ovice;60;531189;15.01.2024 00:00:00;;24.11.1990 00:00:00
2046;Hradec Kr·lovÈ;965;569810;06.01.2025 00:00:00;;24.11.1990 00:00:00
3794;Hranice;1970;513750;25.05.2024 00:00:00;;24.11.1990 00:00:00
2232;Hronov;1066;574082;01.07.2024 00:00:00;;24.11.1990 00:00:00
3158;Hrotovice;1597;590673;12.01.2022 00:00:00;;24.11.1990 00:00:00
3328;Hruöovany nad Jeviöovkou;1660;594156;18.01.2016 00:00:00;;24.11.1990 00:00:00
1741;Hr·dek nad Nisou;817;564095;22.06.2024 00:00:00;;24.11.1990 00:00:00
3085;HulÌn;1546;588491;06.06.2015 00:00:00;;24.11.1990 00:00:00
779;Humpolec;361;547999;17.01.2025 00:00:00;;24.11.1990 00:00:00
2828;HustopeËe;1392;584495;27.06.2024 00:00:00;;24.11.1990 00:00:00
3271;Ivanovice na HanÈ;1643;593117;25.09.2017 00:00:00;;20.03.1992 00:00:00
2755;IvanËice;1325;583120;12.01.2022 00:00:00;;24.11.1990 00:00:00
1686;Jablonec nad Nisou;779;563510;03.02.2025 00:00:00;;24.11.1990 00:00:00
2615;JablonnÈ nad OrlicÌ;1261;580376;08.10.2024 00:00:00;;24.11.1990 00:00:00
1538;JablonnÈ v PodjeötÏdÌ;817;561631;05.06.2023 00:00:00;;24.11.1990 00:00:00
3522;Jablunkov;1767;598259;09.02.2022 00:00:00;;24.11.1990 00:00:00
2241;JaromÏ¯;1040;574121;10.04.2025 00:00:00;;24.11.1990 00:00:00
3166;JaromÏ¯ice nad Rokytnou;1597;590754;10.10.2023 00:00:00;;24.11.1990 00:00:00
3921;JavornÌk;2062;536148;23.10.2015 00:00:00;;24.11.1990 00:00:00
3174;Jemnice;1571;590789;26.04.2019 00:00:00;;24.11.1990 00:00:00
434;Jesenice (okres Praha-z·pad);230;539325;05.10.2017 00:00:00;;01.01.2003 00:00:00
540;Jesenice (okres RakovnÌk);272;541834;02.11.2023 00:00:00;;24.11.1990 00:00:00
3930;JesenÌk;2062;536385;18.01.2022 00:00:00;;24.11.1990 00:00:00
2488;JevÌËko;1171;578193;10.12.2019 00:00:00;;24.11.1990 00:00:00
3018;Jihlava;1503;586846;02.04.2025 00:00:00;;24.11.1990 00:00:00
2437;Jilemnice;1139;577197;25.06.2024 00:00:00;;24.11.1990 00:00:00
710;Jind¯ich˘v Hradec;345;545881;14.05.2025 00:00:00;;24.11.1990 00:00:00
1643;Jirkov;752;563099;01.11.2021 00:00:00;;24.11.1990 00:00:00
2178;JiËÌn;1015;572659;03.03.2023 00:00:00;;24.11.1990 00:00:00
442;JÌlovÈ u Prahy;230;539333;07.12.2024 00:00:00;;24.11.1990 00:00:00
1651;KadaÚ;761;563102;24.07.2024 00:00:00;;24.11.1990 00:00:00
370;Kamenice;221;538299;06.11.2017 00:00:00;;01.01.2003 00:00:00
787;Kamenice nad Lipou;388;548111;01.10.2019 00:00:00;;24.11.1990 00:00:00
663;Kaplice;311;545562;09.08.2024 00:00:00;;24.11.1990 00:00:00
1104;Karlovy Vary;531;554961;23.08.2024 00:00:00;;24.11.1990 00:00:00
3883;Karolinka;2054;542911;26.08.2016 00:00:00;;24.11.1990 00:00:00
3573;Karvin·;1805;598917;29.05.2017 00:00:00;;24.11.1990 00:00:00
1171;KaöperskÈ Hory;574;556432;15.10.2019 00:00:00;;24.11.1990 00:00:00
1040;KdynÏ;485;553786;11.12.2024 00:00:00;;24.11.1990 00:00:00
94;Kladno;78;532053;19.03.2025 00:00:00;;24.11.1990 00:00:00
1180;Klatovy;566;555771;11.12.2024 00:00:00;;24.11.1990 00:00:00
2836;Klobouky u Brna;1392;584550;26.10.2021 00:00:00;;24.11.1990 00:00:00
1660;Kl·öterec nad Oh¯Ì;761;563129;26.09.2017 00:00:00;;24.11.1990 00:00:00
3808;KojetÌn;1996;514055;15.01.2016 00:00:00;;24.11.1990 00:00:00
132;KolÌn;94;533165;09.12.2024 00:00:00;;24.11.1990 00:00:00
3123;Konice;1554;589624;28.11.2023 00:00:00;;24.11.1990 00:00:00
2186;Kopidlno;1015;573060;28.02.2024 00:00:00;;24.11.1990 00:00:00
3638;Kop¯ivnice;1856;599565;31.03.2023 00:00:00;;24.11.1990 00:00:00
3093;KoryËany;1546;588601;08.10.2019 00:00:00;;24.11.1990 00:00:00
2372;Kostelec nad OrlicÌ;1112;576361;14.11.2024 00:00:00;;24.11.1990 00:00:00
141;Kostelec nad »ern˝mi lesy;221;533416;02.01.2024 00:00:00;;24.11.1990 00:00:00
159;Kou¯im;94;533424;09.12.2024 00:00:00;;24.11.1990 00:00:00
1309;Kralovice;639;559075;22.05.2025 00:00:00;;24.11.1990 00:00:00
230;Kralupy nad Vltavou;132;534951;10.01.2025 00:00:00;;24.11.1990 00:00:00
1422;Kraslice;663;560472;10.05.2023 00:00:00;;24.11.1990 00:00:00
3751;Krava¯e;1937;507580;17.01.2019 00:00:00;;24.11.1990 00:00:00
3441;Krnov;1724;597520;27.09.2022 00:00:00;;24.11.1990 00:00:00
3107;KromÏ¯Ìû;1546;588296;06.04.2022 00:00:00;;24.11.1990 00:00:00
1929;Krupka;914;567639;09.11.2023 00:00:00;;01.01.2003 00:00:00
2623;Kr·lÌky;1236;580481;31.08.2023 00:00:00;;24.11.1990 00:00:00
191;Kutn· Hora;116;533955;17.12.2024 00:00:00;;24.11.1990 00:00:00
2763;Ku¯im;1333;583251;07.02.2024 00:00:00;;24.11.1990 00:00:00
2968;Kyjov;1481;586307;18.05.2022 00:00:00;;24.11.1990 00:00:00
1431;Kynöperk nad Oh¯Ì;671;560499;15.09.2023 00:00:00;;24.11.1990 00:00:00
558;K¯ivokl·t;272;541982;24.08.2022 00:00:00;;20.03.1992 00:00:00
2631;Lanökroun;1244;580511;01.03.2024 00:00:00;;24.11.1990 00:00:00
2003;LedeË nad S·zavou;957;568988;17.12.2024 00:00:00;;24.11.1990 00:00:00
2640;Letohrad;1261;580538;08.10.2024 00:00:00;;24.11.1990 00:00:00
2721;Letovice;1309;581917;17.12.2024 00:00:00;;24.11.1990 00:00:00
1759;Liberec;817;563889;03.02.2025 00:00:00;;24.11.1990 00:00:00
1783;Libochovice;833;565164;26.11.2024 00:00:00;;24.11.1990 00:00:00
1945;Libouchec;922;568058;11.06.2024 00:00:00;;20.03.1992 00:00:00
3816;LipnÌk nad BeËvou;1988;514705;26.03.2025 00:00:00;;24.11.1990 00:00:00
2496;Litomyöl;1163;578347;20.12.2023 00:00:00;;24.11.1990 00:00:00
1791;LitomÏ¯ice;825;564567;05.01.2023 00:00:00;;24.11.1990 00:00:00
3697;Litovel;1881;503444;28.11.2023 00:00:00;;24.11.1990 00:00:00
1881;LitvÌnov;884;567256;01.09.2017 00:00:00;;24.11.1990 00:00:00
591;Liöov;302;544779;06.06.2015 00:00:00;;24.11.1990 00:00:00
1449;Loket;671;560537;23.08.2023 00:00:00;;24.11.1990 00:00:00
2445;Lomnice nad Popelkou;1147;577308;30.04.2025 00:00:00;;24.11.1990 00:00:00
1848;Louny;850;565971;14.11.2024 00:00:00;;24.11.1990 00:00:00
1805;Lovosice;833;565229;26.11.2024 00:00:00;;24.11.1990 00:00:00
2879;LuhaËovice;1422;585459;29.08.2023 00:00:00;;24.11.1990 00:00:00
311;Lys· nad Labem;183;537454;24.03.2025 00:00:00;;24.11.1990 00:00:00
2330;L·znÏ BohdaneË;1082;574767;08.11.2022 00:00:00;;24.11.1990 00:00:00
2194;L·znÏ BÏlohrad;1015;573094;06.06.2015 00:00:00;;24.11.1990 00:00:00
1317;ManÏtÌn;639;559202;21.06.2023 00:00:00;;24.11.1990 00:00:00
1091;Mari·nskÈ L·znÏ;523;554642;08.04.2025 00:00:00;;24.11.1990 00:00:00
2844;Mikulov;1406;584649;06.06.2015 00:00:00;;24.11.1990 00:00:00
825;Milevsko;396;549576;26.05.2022 00:00:00;;24.11.1990 00:00:00
1546;MimoÚ;710;561835;19.06.2024 00:00:00;;24.11.1990 00:00:00
3336;Miroslav;1651;594458;18.01.2016 00:00:00;;24.11.1990 00:00:00
833;Mirotice;400;549584;07.03.2025 00:00:00;;24.11.1990 00:00:00
841;Mirovice;400;549592;07.11.2018 00:00:00;;20.03.1992 00:00:00
299;Mlad· Boleslav;167;535419;11.06.2025 00:00:00;;24.11.1990 00:00:00
965;Mlad· Voûice;477;552704;06.04.2022 00:00:00;;24.11.1990 00:00:00
302;Mnichovo HradiötÏ;175;536326;16.05.2025 00:00:00;;24.11.1990 00:00:00
451;MnÌöek pod Brdy;230;540765;06.12.2024 00:00:00;;24.11.1990 00:00:00
3841;Mohelnice;2003;540471;10.03.2021 00:00:00;;24.11.1990 00:00:00
2500;Moravsk· T¯ebov·;1171;578444;16.04.2024 00:00:00;;24.11.1990 00:00:00
3182;MoravskÈ BudÏjovice;1571;591181;12.01.2023 00:00:00;;24.11.1990 00:00:00
3450;Moravsk˝ Beroun;1911;597678;01.01.2016 00:00:00;;24.11.1990 00:00:00
3344;Moravsk˝ Krumlov;1651;594482;12.01.2022 00:00:00;;24.11.1990 00:00:00
3115;Morkovice-SlÌûany;1546;588768;23.10.2018 00:00:00;;24.11.1990 00:00:00
1899;Most;892;567027;01.11.2021 00:00:00;;24.11.1990 00:00:00
256;MÏlnÌk;141;534676;11.06.2025 00:00:00;;24.11.1990 00:00:00
329;MÏstec Kr·lovÈ;205;537489;17.01.2025 00:00:00;;24.11.1990 00:00:00
3468;MÏsto Albrechtice;1724;597635;15.11.2023 00:00:00;;24.11.1990 00:00:00
1325;MÏsto Touökov;647;559211;30.12.2024 00:00:00;;24.11.1990 00:00:00
248;Möeno;141;535052;17.01.2025 00:00:00;;20.03.1992 00:00:00
2887;Napajedla;1431;585513;04.09.2024 00:00:00;;24.11.1990 00:00:00
2135;Nasavrky;981;571911;06.05.2025 00:00:00;;20.03.1992 00:00:00
2054;Nechanice;965;570451;06.01.2025 00:00:00;;20.03.1992 00:00:00
1112;Nejdek;531;555380;28.06.2017 00:00:00;;24.11.1990 00:00:00
1252;Nepomuk;604;558109;31.10.2024 00:00:00;;24.11.1990 00:00:00
264;Neratovice;159;535087;10.01.2025 00:00:00;;24.11.1990 00:00:00
876;Netolice;418;550442;08.11.2024 00:00:00;;24.11.1990 00:00:00
728;Nov· Byst¯ice;345;546798;21.03.2016 00:00:00;;24.11.1990 00:00:00
2208;Nov· Paka;1023;573248;01.07.2016 00:00:00;;24.11.1990 00:00:00
604;NovÈ Hrady;281;544868;09.08.2024 00:00:00;;24.11.1990 00:00:00
3387;NovÈ MÏsto na MoravÏ;1686;596230;08.01.2025 00:00:00;;24.11.1990 00:00:00
2259;NovÈ MÏsto nad MetujÌ;1058;574279;06.06.2015 00:00:00;;24.11.1990 00:00:00
1767;NovÈ MÏsto pod Smrkem;809;564265;15.12.2016 00:00:00;;24.11.1990 00:00:00
566;NovÈ StraöecÌ;272;542164;22.12.2023 00:00:00;;24.11.1990 00:00:00
1554;Nov˝ Bor;701;561860;24.11.2017 00:00:00;;24.11.1990 00:00:00
2062;Nov˝ Bydûov;973;570508;18.03.2024 00:00:00;;24.11.1990 00:00:00
3646;Nov˝ JiËÌn;1864;599191;13.02.2024 00:00:00;;24.11.1990 00:00:00
337;Nymburk;191;537004;30.04.2025 00:00:00;;24.11.1990 00:00:00
2267;N·chod;1066;573868;20.11.2018 00:00:00;;24.11.1990 00:00:00
3191;N·mÏöù nad Oslavou;1589;591211;21.06.2023 00:00:00;;24.11.1990 00:00:00
1198;N˝rsko;566;556831;23.03.2020 00:00:00;;24.11.1990 00:00:00
1333;N˝¯any;647;559300;04.04.2021 00:00:00;;24.11.1990 00:00:00
3131;NÏmËice nad Hanou;1562;589756;05.09.2018 00:00:00;;24.11.1990 00:00:00
388;Odolena Voda;213;538574;16.01.2018 00:00:00;;24.11.1990 00:00:00
3654;Odry;1872;599701;25.05.2024 00:00:00;;24.11.1990 00:00:00
3701;Olomouc;1899;500496;27.01.2023 00:00:00;;24.11.1990 00:00:00
3760;Opava;1945;505927;25.06.2024 00:00:00;;24.11.1990 00:00:00
2381;OpoËno;1104;576590;12.05.2025 00:00:00;;24.11.1990 00:00:00
3581;Orlov·;1813;599069;29.05.2017 00:00:00;;24.11.1990 00:00:00
3476;Osoblaha;1724;597716;15.11.2023 00:00:00;;20.03.1992 00:00:00
3786;Ostrava;1961;554821;01.06.2018 00:00:00;;01.01.2003 00:00:00
1121;Ostrov;540;555428;20.07.2023 00:00:00;;24.11.1990 00:00:00
2895;Otrokovice;1431;585599;06.04.2022 00:00:00;;24.11.1990 00:00:00
795;Pacov;370;548511;03.01.2023 00:00:00;;24.11.1990 00:00:00
2348;Pardubice;1082;555134;06.08.2020 00:00:00;;24.11.1990 00:00:00
809;Pelh¯imov;388;547492;09.03.2018 00:00:00;;24.11.1990 00:00:00
167;PeËky;94;537641;06.06.2024 00:00:00;;24.11.1990 00:00:00
1481;Plan·;698;561134;08.07.2024 00:00:00;;24.11.1990 00:00:00
1341;Plasy;639;559351;05.02.2024 00:00:00;;24.11.1990 00:00:00
1228;PlzeÚ;582;554791;30.12.2024 00:00:00;;01.01.2003 00:00:00
1201;Pl·nice;566;556955;25.03.2024 00:00:00;;24.11.1990 00:00:00
1058;PobÏûovice;485;554111;12.03.2025 00:00:00;;24.11.1990 00:00:00
1856;Podbo¯any;868;566616;01.02.2024 00:00:00;;24.11.1990 00:00:00
345;PodÏbrady;205;537683;30.04.2025 00:00:00;;24.11.1990 00:00:00
2852;Poho¯elice;1414;584801;29.11.2021 00:00:00;;24.11.1990 00:00:00
2275;Police nad MetujÌ;1066;574341;01.07.2024 00:00:00;;24.11.1990 00:00:00
2518;PoliËka;1180;578576;29.04.2022 00:00:00;;24.11.1990 00:00:00
3026;Poln·;1503;587711;20.05.2025 00:00:00;;24.11.1990 00:00:00
1864;Postoloprty;850;566624;21.12.2021 00:00:00;;01.01.1996 00:00:00
817;PoË·tky;388;548561;06.06.2018 00:00:00;;24.11.1990 00:00:00
884;Prachatice;418;550094;08.11.2024 00:00:00;;24.11.1990 00:00:00
3140;ProstÏjov;1562;589250;05.12.2023 00:00:00;;24.11.1990 00:00:00
850;ProtivÌn;400;549771;16.12.2021 00:00:00;;24.11.1990 00:00:00
868;PÌsek;400;549240;16.12.2021 00:00:00;;24.11.1990 00:00:00
2356;P¯elouË;1091;575500;11.06.2025 00:00:00;;24.11.1990 00:00:00
3824;P¯erov;1996;511382;26.03.2025 00:00:00;;24.11.1990 00:00:00
1261;P¯eötice;612;558249;31.10.2024 00:00:00;;24.11.1990 00:00:00
2011;P¯ibyslav;949;569321;01.11.2024 00:00:00;;24.11.1990 00:00:00
3662;P¯Ìbor;1856;599808;15.02.2023 00:00:00;;24.11.1990 00:00:00
507;P¯Ìbram;256;539911;21.02.2025 00:00:00;;24.11.1990 00:00:00
1376;Radnice;655;560120;22.05.2025 00:00:00;;24.11.1990 00:00:00
574;RakovnÌk;272;541656;04.03.2025 00:00:00;;24.11.1990 00:00:00
1384;Rokycany;655;559717;14.03.2025 00:00:00;;24.11.1990 00:00:00
2453;Rokytnice nad Jizerou;1139;577456;06.06.2015 00:00:00;;24.11.1990 00:00:00
2399;Rokytnice v Orlick˝ch hor·ch;1121;576701;22.12.2020 00:00:00;;24.11.1990 00:00:00
2771;Rosice;1341;583782;05.11.2019 00:00:00;;24.11.1990 00:00:00
1813;Roudnice nad Labem;841;565555;31.10.2023 00:00:00;;24.11.1990 00:00:00
3280;RousÌnov;1643;593559;04.04.2023 00:00:00;;24.11.1990 00:00:00
469;Roztoky;230;539627;03.06.2018 00:00:00;;24.11.1990 00:00:00
515;Roûmit·l pod T¯emöÌnem;256;541231;01.01.2016 00:00:00;;24.11.1990 00:00:00
3891;Roûnov pod RadhoötÏm;2038;544841;22.05.2024 00:00:00;;24.11.1990 00:00:00
1597;Rumburk;736;562777;30.10.2023 00:00:00;;24.11.1990 00:00:00
2402;Rychnov nad KnÏûnou;1121;576069;04.09.2024 00:00:00;;24.11.1990 00:00:00
3484;R˝ma¯ov;1732;597783;18.04.2024 00:00:00;;24.11.1990 00:00:00
353;Sadsk·;191;537764;30.04.2025 00:00:00;;01.01.1996 00:00:00
523;SedlËany;264;541281;26.05.2022 00:00:00;;24.11.1990 00:00:00
2461;Semily;1147;576964;06.12.2023 00:00:00;;24.11.1990 00:00:00
973;Sezimovo ⁄stÌ;477;553069;05.09.2018 00:00:00;;20.03.1992 00:00:00
2143;SkuteË;981;572241;14.12.2023 00:00:00;;24.11.1990 00:00:00
108;Slan˝;86;532819;19.03.2025 00:00:00;;24.11.1990 00:00:00
2909;SlaviËÌn;1422;585751;05.03.2019 00:00:00;;24.11.1990 00:00:00
3298;Slavkov u Brna;1635;593583;20.01.2023 00:00:00;;24.11.1990 00:00:00
736;Slavonice;337;547166;20.03.2017 00:00:00;;24.11.1990 00:00:00
2071;Smi¯ice;965;570877;10.04.2025 00:00:00;;24.11.1990 00:00:00
2216;Sobotka;1015;573493;28.02.2024 00:00:00;;24.11.1990 00:00:00
981;SobÏslav;469;553131;14.05.2025 00:00:00;;24.11.1990 00:00:00
1457;Sokolov;671;560286;15.09.2023 00:00:00;;24.11.1990 00:00:00
1279;Sp·lenÈ Po¯ÌËÌ;591;558362;14.03.2025 00:00:00;;01.01.2003 00:00:00
3221;StarÈ MÏsto;1601;550752;17.02.2025 00:00:00;;01.01.2003 00:00:00
1287;Star˝ Plzenec;582;558371;28.03.2017 00:00:00;;24.11.1990 00:00:00
1066;StaÚkov;493;554294;06.12.2021 00:00:00;;24.11.1990 00:00:00
1295;Stod;621;558389;22.08.2023 00:00:00;;24.11.1990 00:00:00
922;Strakonice;442;550787;12.10.2022 00:00:00;;24.11.1990 00:00:00
2976;Str·ûnice;1490;586587;11.10.2022 00:00:00;;24.11.1990 00:00:00
3671;StudÈnka;1830;599921;30.10.2017 00:00:00;;24.11.1990 00:00:00
1490;St¯Ìbro;680;561215;18.08.2023 00:00:00;;24.11.1990 00:00:00
744;Suchdol nad LuûnicÌ;353;547280;06.06.2015 00:00:00;;24.11.1990 00:00:00
1210;Suöice;574;557153;25.09.2024 00:00:00;;24.11.1990 00:00:00
2526;Svitavy;1198;577731;16.04.2024 00:00:00;;24.11.1990 00:00:00
2551;Svoboda nad ⁄pou;1210;579734;07.01.2025 00:00:00;;24.11.1990 00:00:00
2020;SvÏtl· nad S·zavou;957;569569;15.08.2024 00:00:00;;24.11.1990 00:00:00
35;S·zava;27;534382;20.11.2023 00:00:00;;24.11.1990 00:00:00
1503;Tachov;698;560715;08.04.2024 00:00:00;;24.11.1990 00:00:00
1694;Tanvald;787;563820;10.09.2021 00:00:00;;24.11.1990 00:00:00
3034;TelË;1511;588024;10.11.2023 00:00:00;;24.11.1990 00:00:00
1937;Teplice;914;567442;09.11.2023 00:00:00;;24.11.1990 00:00:00
2283;Teplice nad MetujÌ;1031;574538;06.04.2022 00:00:00;;24.11.1990 00:00:00
2780;Tiönov;1350;584002;19.09.2023 00:00:00;;24.11.1990 00:00:00
1139;Touûim;531;555657;21.10.2024 00:00:00;;24.11.1990 00:00:00
612;TrhovÈ Sviny;281;545171;06.05.2024 00:00:00;;24.11.1990 00:00:00
2569;Trutnov;1210;579025;27.05.2025 00:00:00;;24.11.1990 00:00:00
2470;Turnov;1155;577626;30.04.2025 00:00:00;;24.11.1990 00:00:00
990;T·bor;477;552046;28.11.2024 00:00:00;;24.11.1990 00:00:00
621;T˝n nad Vltavou;299;545201;23.01.2024 00:00:00;;24.11.1990 00:00:00
175;T˝nec nad Labem;94;533807;17.06.2023 00:00:00;;20.03.1992 00:00:00
43;T˝nec nad S·zavou;27;530841;19.06.2025 00:00:00;;24.11.1990 00:00:00
2411;T˝niötÏ nad OrlicÌ;1112;576859;14.11.2024 00:00:00;;24.11.1990 00:00:00
2089;T¯ebechovice pod Orebem;965;571041;03.11.2022 00:00:00;;24.11.1990 00:00:00
752;T¯eboÚ;353;547336;16.10.2024 00:00:00;;24.11.1990 00:00:00
3204;T¯ebÌË;1597;590266;09.04.2024 00:00:00;;24.11.1990 00:00:00
2151;T¯emoönice;981;572411;09.09.2022 00:00:00;;24.11.1990 00:00:00
1350;T¯emoön·;647;559521;05.02.2024 00:00:00;;24.11.1990 00:00:00
3042;T¯eöù;1503;588032;02.04.2025 00:00:00;;24.11.1990 00:00:00
3531;T¯inec;1775;598810;08.11.2024 00:00:00;;24.11.1990 00:00:00
3239;UherskÈ HradiötÏ;1601;592005;17.02.2025 00:00:00;;24.11.1990 00:00:00
