KOD;NAZEV;OBEC_KOD;MOP_KOD;SPRAVOBV_KOD;PORADI;PLATI_OD;PLATI_DO;DATUM_VZNIKU
547051;Praha-Libuö;554782;43;124;38;04.06.2025 00:00:00;;01.01.1977 00:00:00
539449;Praha-Lipence;554782;51;205;39;25.04.2024 00:00:00;;01.01.1977 00:00:00
539465;Praha-Lochkov;554782;51;205;40;25.04.2024 00:00:00;;01.01.1977 00:00:00
547140;Praha-Lysolaje;554782;60;60;41;25.04.2024 00:00:00;;01.01.1977 00:00:00
547158;Praha-Nebuöice;554782;60;60;42;20.06.2025 00:00:00;;01.01.1977 00:00:00
538531;Praha-NedvÏzÌ;554782;108;191;43;15.10.2024 00:00:00;;01.01.1977 00:00:00
547395;Praha-Petrovice;554782;108;159;44;25.04.2024 00:00:00;;01.01.1977 00:00:00
539589;Praha-P¯ednÌ Kopanina;554782;60;60;45;01.08.2024 00:00:00;;01.01.1977 00:00:00
538736;Praha-Satalice;554782;94;167;47;25.04.2024 00:00:00;;01.01.1977 00:00:00
539678;Praha-Slivenec;554782;51;51;48;25.04.2024 00:00:00;;01.01.1977 00:00:00
547271;Praha-Suchdol;554782;60;60;49;23.10.2024 00:00:00;;01.01.1977 00:00:00
547328;Praha-Troja;554782;78;78;52;25.04.2024 00:00:00;;01.01.1992 00:00:00
547115;Praha-Velk· Chuchle;554782;51;205;54;25.04.2024 00:00:00;;01.01.1977 00:00:00
539007;Praha-Vino¯;554782;94;167;55;16.01.2025 00:00:00;;01.01.1977 00:00:00
539864;Praha-Zbraslav;554782;51;205;56;07.05.2025 00:00:00;;01.01.1977 00:00:00
539899;Praha-ZliËÌn;554782;51;213;57;16.01.2025 00:00:00;;01.01.1977 00:00:00
539791;Praha-⁄jezd;554782;43;116;53;25.04.2024 00:00:00;;01.01.1977 00:00:00
547310;Praha-»akovice;554782;94;221;26;25.04.2024 00:00:00;;01.01.1977 00:00:00
547298;Praha-œ·blice;554782;86;86;27;25.04.2024 00:00:00;;01.01.1977 00:00:00
539635;Praha-ÿeporyje;554782;51;132;46;25.04.2024 00:00:00;;01.01.1977 00:00:00
539724;Praha-äeberov;554782;43;116;50;10.09.2024 00:00:00;;01.01.1977 00:00:00
547409;Praha-ätÏrboholy;554782;108;159;51;25.04.2024 00:00:00;;01.01.1977 00:00:00
554375;Proskovice;554821;;;16;31.05.2024 00:00:00;;24.11.1990 00:00:00
554243;Pustkovec;554821;;;17;22.01.2016 00:00:00;;24.11.1990 00:00:00
554537;Radvanice a Bartovice;554821;;;18;03.04.2024 00:00:00;;24.11.1990 00:00:00
546046;Slezsk· Ostrava;554821;;;19;28.08.2024 00:00:00;;24.11.1990 00:00:00
554235;Star· BÏl·;554821;;;20;31.12.2021 00:00:00;;24.11.1990 00:00:00
555371;SuchÈ Lazce;505927;;;5;15.04.2025 00:00:00;;01.04.1996 00:00:00
554685;Svinov;554821;;;21;22.01.2016 00:00:00;;24.11.1990 00:00:00
554715;T¯ebovice;554821;;;22;18.12.2020 00:00:00;;24.11.1990 00:00:00
555461;VlaötoviËky;505927;;;7;19.08.2024 00:00:00;;01.04.1996 00:00:00
556700;V·vrovice;505927;;;6;19.08.2024 00:00:00;;01.04.1996 00:00:00
554227;VÌtkovice;554821;;;23;22.01.2016 00:00:00;;24.11.1990 00:00:00
555410;ZlatnÌky;505927;;;8;25.04.2024 00:00:00;;01.04.1996 00:00:00
502081;⁄stÌ nad Labem-NeötÏmice;554804;;;2;16.10.2024 00:00:00;;24.11.1990 00:00:00
501298;⁄stÌ nad Labem-SevernÌ Terasa;554804;;;3;25.04.2024 00:00:00;;24.11.1990 00:00:00
502316;⁄stÌ nad Labem-St¯ekov;554804;;;4;25.04.2024 00:00:00;;24.11.1990 00:00:00
567892;⁄stÌ nad Labem-mÏsto;554804;;;1;25.04.2025 00:00:00;;24.11.1990 00:00:00
