KOD;NAZEV;VUSC_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3305;Písek;35;CZ0314;07.03.2025 00:00:00;;11.04.1960 00:00:00
3808;Pøerov;124;CZ0714;25.05.2024 00:00:00;;11.04.1960 00:00:00
3211;Pøíbram;27;CZ020B;07.12.2024 00:00:00;;11.04.1960 00:00:00
3212;Rakovník;27;CZ020C;04.03.2025 00:00:00;;11.04.1960 00:00:00
3408;Rokycany;43;CZ0326;22.05.2025 00:00:00;;11.04.1960 00:00:00
3607;Rychnov nad Knìžnou;86;CZ0524;19.05.2025 00:00:00;;11.04.1960 00:00:00
3608;Semily;78;CZ0514;25.06.2024 00:00:00;;11.04.1960 00:00:00
3409;Sokolov;51;CZ0413;23.08.2024 00:00:00;;11.04.1960 00:00:00
3307;Strakonice;35;CZ0316;07.03.2025 00:00:00;;11.04.1960 00:00:00
3609;Svitavy;94;CZ0533;20.12.2023 00:00:00;;11.04.1960 00:00:00
3410;Tachov;43;CZ0327;12.03.2025 00:00:00;;11.04.1960 00:00:00
3509;Teplice;60;CZ0426;26.09.2023 00:00:00;;11.04.1960 00:00:00
3610;Trutnov;86;CZ0525;25.06.2024 00:00:00;;11.04.1960 00:00:00
3308;Tábor;35;CZ0317;14.05.2025 00:00:00;;11.04.1960 00:00:00
3710;Tøebíè;108;CZ0634;09.04.2024 00:00:00;;11.04.1960 00:00:00
3711;Uherské Hradištì;141;CZ0722;04.09.2024 00:00:00;;11.04.1960 00:00:00
3810;Vsetín;141;CZ0723;22.05.2024 00:00:00;;11.04.1960 00:00:00
3712;Vyškov;116;CZ0646;05.12.2023 00:00:00;;11.04.1960 00:00:00
3705;Zlín;141;CZ0724;04.09.2024 00:00:00;;11.04.1960 00:00:00
3713;Znojmo;116;CZ0647;12.01.2023 00:00:00;;11.04.1960 00:00:00
3510;Ústí nad Labem;60;CZ0427;13.06.2025 00:00:00;;11.04.1960 00:00:00
3611;Ústí nad Orlicí;94;CZ0534;19.05.2025 00:00:00;;11.04.1960 00:00:00
9999;území Hlavního mìsta Prahy;19;CZ0100;19.07.2022 00:00:00;;11.04.1960 00:00:00
3501;Èeská Lípa;78;CZ0511;19.06.2024 00:00:00;;11.04.1960 00:00:00
3301;Èeské Budìjovice;35;CZ0311;17.03.2025 00:00:00;;11.04.1960 00:00:00
3302;Èeský Krumlov;35;CZ0312;17.03.2025 00:00:00;;11.04.1960 00:00:00
3809;Šumperk;124;CZ0715;01.03.2024 00:00:00;;11.04.1960 00:00:00
3714;Žïár nad Sázavou;108;CZ0635;20.05.2025 00:00:00;;11.04.1960 00:00:00
3100;Hlavní mìsto Praha;19;CZ0100;02.01.2021 00:00:00;01.07.2022 00:00:00;11.04.1960 00:00:00
